   Medha Speed Time Distance Recording System Type MRT 922
                    Long  Term Digital Report       Recorder Sl.No  2222
___________________________________________________________________________________________________________________________________________________________
Filename           :CMLM438             Locono  : 039027       FileSave Date : 23-05-2023
Userfilename       :                                   FileSave Time : 03:36:10 PM
Start Date , Time  :02/05/23  03:15:12  End Date , Time : 06/05/23   13:22:21
Shedname           :BRCY              Start Dist   : 0  End Dist : 2787.217
PC Software        :Msw 922 Ver 1.0
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
Driver ID :2165 GGC          Train No: 19020            Locono : 39027  Spd Limit :140 Kmph   Wheel Dia :1037 mm 
02/05/23 | 03:54:34 | 109 | 0912 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:55:04 | 110 | 0913 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:55:34 | 110 | 0918 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:56:04 | 109 | 0911 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:56:34 | 110 | 0917 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:57:04 | 108 | 0913 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:57:34 | 110 | 0909 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:58:04 | 109 | 0914 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:58:34 | 109 | 0912 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:59:04 | 110 | 0914 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:59:34 | 109 | 0913 | Off | Off | On  | Off | Off | Off | Off | Off |                           
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
02/05/23 | 04:00:00 | 109 | 0790 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:00:30 | 110 | 0913 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:01:00 | 109 | 0913 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:01:30 | 109 | 0910 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:02:00 | 109 | 0912 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:02:30 | 110 | 0917 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:03:00 | 109 | 0916 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:03:30 | 109 | 0911 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:04:00 | 110 | 0914 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:04:30 | 108 | 0909 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:05:00 | 104 | 0884 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:05:30 | 108 | 0888 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:06:00 | 109 | 0908 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:06:30 | 108 | 0902 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:07:00 | 108 | 0899 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:07:30 | 103 | 0888 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:08:00 | 087 | 0793 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:08:30 | 076 | 0667 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:09:00 | 070 | 0613 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:09:30 | 037 | 0457 | Off | Off | On  | Off | Off | Off | Off | Off |                           
