   Medha Speed Time Distance Recording System Type MRT 922
                    Long  Term Digital Report       Recorder Sl.No  4105
___________________________________________________________________________________________________________________________________________________________
Filename           :CMLM441             Locono  : 037341       FileSave Date : 23-05-2023
Userfilename       :37341                              FileSave Time : 03:36:56 PM
Start Date , Time  :19/05/23  16:05:02  End Date , Time : 23/05/23   10:13:30
Shedname           :BRC               Start Dist   : 0  End Dist : 599.395
PC Software        :Msw 922 Ver 1.0
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
Driver ID :BRC1173           Train No: 22960            Locono : 37341  Spd Limit :140 Kmph   Wheel Dia :1068 mm 
19/05/23 | 17:32:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:33:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:33:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:34:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:34:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:35:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:35:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:36:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:36:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:37:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:37:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:38:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:38:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:39:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:39:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:40:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:40:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:41:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:41:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:42:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:42:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:43:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:43:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
19/05/23 | 17:44:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:44:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:45:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:45:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:46:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:46:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:47:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:47:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:48:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:48:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:49:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:49:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:50:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:50:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:51:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:51:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:52:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:52:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:53:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:53:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:54:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
